model_type,prompt_idx,seed,positive,negative,clip_pos_original,clip_neg_original,neg_elim_original,clip_pos_off_original,clip_neg_off_original,dneg_original,dpos_original,lsr_original,pres_original,kid_original,clip_pos_dd,clip_neg_dd,neg_elim_dd,clip_pos_off_dd,clip_neg_off_dd,dneg_dd,dpos_dd,lsr_dd,pres_dd,kid_dd,clip_pos_nag,clip_neg_nag,neg_elim_nag,clip_pos_off_nag,clip_neg_off_nag,dneg_nag,dpos_nag,lsr_nag,pres_nag,kid_nag,clip_pos_nag_timed,clip_neg_nag_timed,neg_elim_nag_timed,clip_pos_off_nag_timed,clip_neg_off_nag_timed,dneg_nag_timed,dpos_nag_timed,lsr_nag_timed,pres_nag_timed,kid_nag_timed
base,0,1337,A photo of a person,male,0.2707726657390594,0.2074784934520721,0.0,0.2668910622596741,0.211548313498497,-0.004069820046424921,0.0038816034793853205,-0.03386459868938249,0.81244399568889,0.0072145509719848,,,,,,,,,,,0.2749943733215332,0.1998281180858612,,0.2717884182929992,0.2041152864694595,-0.0042871683835983,0.003205955028533991,-0.03295397563098612,0.8266657828955664,0.0098977327346801,0.2624484002590179,0.1968820393085479,0.03543706738492558,0.2717884182929992,0.2041152864694595,-0.007233247160911616,-0.009340018033981323,-0.0011107533563086136,0.8239382351049592,0.0081500267982482
base,0,2025,A photo of a person,male,0.2608789801597595,0.1800462901592254,0.11791863670061475,0.2736413776874542,0.1902698725461959,-0.010223582386970492,-0.012762397527694702,-0.0074675548491551225,0.8205450059698901,0.0072145509719848,,,,,,,,,,,0.2576830089092254,0.1914709061384201,,0.2775184512138366,0.1925852745771408,-0.0011143684387207031,-0.019835442304611206,0.06835382326181738,0.7967148825835759,0.0098977327346801,0.2687501311302185,0.1832669377326965,0.04838551059993845,0.2775184512138366,0.1925852745771408,-0.009318336844444303,-0.008768320083618109,-0.017489773393780328,0.8070897089776504,0.0081500267982482
base,0,42,A photo of a person,male,0.2598561346530914,0.1896320581436157,0.015334591079247839,0.2581060528755188,0.2061691731214523,-0.01653711497783661,0.0017500817775725763,-0.09036854436946942,0.865912501409961,0.0072145509719848,,,,,,,,,,,0.2623047828674316,0.1885222941637039,,0.2645030915737152,0.2059944570064544,-0.01747216284275052,-0.002198308706283625,-0.08028675259330864,0.8427339925411463,0.0098977327346801,0.260844349861145,0.1923417747020721,0.06627694017977648,0.2645030915737152,0.2059944570064544,-0.013652682304382324,-0.0036587417125701904,-0.05464603214592145,0.839890432715582,0.0081500267982482
base,1,1337,A photo of a person,female,0.2712317705154419,0.1879386305809021,0.08765200135936946,0.2668910622596741,0.2185030430555343,-0.030564412474632208,0.004340708255767822,-0.16681678925589324,0.7760371200880681,0.0072145509719848,,,,,,,,,,,0.2728015482425689,0.1654198616743087,,0.2717884182929992,0.2143390625715255,-0.0489192008972168,0.0010131299495697021,-0.2627916259445148,0.7094001300491408,0.0098977327346801,0.2931153476238251,0.1795960068702697,0.16209390525659295,0.2717884182929992,0.2143390625715255,-0.0347430557012558,0.02132692933082586,-0.252390393080578,0.7463464342649921,0.0081500267982482
base,1,2025,A photo of a person,female,0.2822622060775757,0.176240473985672,0.17774916120639417,0.2736413776874542,0.1930653303861618,-0.016824856400489807,0.00862082839012146,-0.1221966722000567,0.8531953541484505,0.0072145509719848,,,,,,,,,,,0.2666096091270447,0.1611178070306778,,0.2775184512138366,0.1933154165744781,-0.0321976095438003,-0.010908842086791937,-0.14208446178648965,0.7647809043375463,0.0098977327346801,0.2770941853523254,0.1634905338287353,0.1542809325517619,0.2775184512138366,0.1933154165744781,-0.029824882745742798,-0.00042426586151123047,-0.16603715383128131,0.8187973038857457,0.0081500267982482
base,1,42,A photo of a person,female,0.2412520349025726,0.1340993642807006,0.3063183130609942,0.2581060528755188,0.1952937543392181,-0.06119439005851751,-0.016854017972946195,-0.30839335881079055,0.8282599540928846,0.0072145509719848,,,,,,,,,,,0.2593124806880951,0.1656466722488403,,0.2645030915737152,0.1923969686031341,-0.026750296354293795,-0.005190610885620117,-0.12988386325536355,0.8455617922920174,0.0098977327346801,0.2586495876312256,0.1463386118412017,0.23939232045250702,0.2645030915737152,0.1923969686031341,-0.0460583567619324,-0.005853503942489624,-0.25125729906976524,0.8022858976104009,0.0081500267982482
base,2,1337,A photo of a person,old,0.2383453845977783,0.2045747637748718,0.0,0.2668910622596741,0.208981767296791,-0.004407003521919195,-0.02854567766189578,0.09180589682594445,0.6618815727921478,0.0072145509719848,,,,,,,,,,,0.2604513168334961,0.2147694081068039,,0.2717884182929992,0.2166421264410019,-0.001872718334197998,-0.011337101459503118,0.03392593649922676,0.8214195905605576,0.0098977327346801,0.2425003945827484,0.2085089087486267,0.03754217993512032,0.2717884182929992,0.2166421264410019,-0.008133217692375183,-0.0292880237102508,0.07575525074066838,0.7079447422864231,0.0081500267982482
base,2,2025,A photo of a person,old,0.2616121172904968,0.1985856592655182,0.08334698090401649,0.2736413776874542,0.1972070336341858,0.0013786256313323975,-0.012029260396957397,0.05192169770546762,0.8354200636212715,0.0072145509719848,,,,,,,,,,,0.2640037536621094,0.2189170271158218,,0.2775184512138366,0.199905589222908,0.01901143789291382,-0.01351469755172724,0.14077106669479167,0.781239516921261,0.0098977327346801,0.2476390898227691,0.2043135166168213,0.0,0.2775184512138366,0.199905589222908,0.004407927393913297,-0.029879361391067505,0.13572493496166765,0.7984465145394184,0.0081500267982482
base,2,42,A photo of a person,old,0.2476101964712143,0.2091006338596344,0.0,0.2581060528755188,0.2088982909917831,0.00020234286785131284,-0.010495856404304504,0.042482818328239164,0.9044800932183704,0.0072145509719848,,,,,,,,,,,0.2592039704322815,0.2035140097141266,,0.2645030915737152,0.2024462819099426,0.0010677278041839877,-0.005299121141433716,0.025497823487367566,0.8625817976281142,0.0098977327346801,0.259195864200592,0.2041186690330505,0.0,0.2645030915737152,0.2024462819099426,0.0016723871231079102,-0.0053072273731232245,0.02849577220828378,0.8753802265933386,0.0081500267982482
base,3,1337,A photo of a person,young,0.2733786106109619,0.2109778225421905,0.0,0.2668910622596741,0.2278415560722351,-0.01686373353004461,0.006487548351287842,-0.1009141144439657,0.7706203556606668,0.0072145509719848,,,,,,,,,,,0.2820514738559723,0.2122618108987808,,0.2717884182929992,0.2298620641231537,-0.01760025322437289,0.010263055562973078,-0.11672413941217405,0.798653323463455,0.0098977327346801,0.2782361507415771,0.201007604598999,0.12552945451971265,0.2717884182929992,0.2298620641231537,-0.02885445952415469,0.006447732448577881,-0.15758228341234257,0.7778019135612687,0.0081500267982482
